hole_id,comp_no,process_method,process_phase,mass_kg,mass_pct,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
GVRD0268,6,LIMS, Mags(calc),90.11,65.061371841155236,51.93,22.48,0.63700000000000001,3.6999999999999998E-2,0.33,0.21199999999999999,0.06,2.4E-2,0.71599999999999997,0.16800000000000001,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,3.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,4.0000000000000001E-3,1E-3,1.0999999999999999E-2,5.0000000000000001E-3,2E-3,5.0000000000000001E-4,1E-3,6.0000000000000001E-3,61.13,-0.18,1.6,-0.73,0.69
GVRD0268,6,LIMS, Tails,48.39,34.938628158844764,18.27,56.56,1.7689999999999999,6.5000000000000002E-2,1.1000000000000001,0.57399999999999995,0.151,0.11899999999999999,2.42,0.441,4.2999999999999997E-2,3.0000000000000001E-3,5.0000000000000001E-4,4.0000000000000001E-3,1E-3,5.0000000000000001E-4,7.0000000000000001E-3,5.0000000000000001E-4,2E-3,3.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,1.0999999999999999E-2,2.33,0.22,9.1999999999999993,0.56999999999999995,9.99
GVRD0268,6,LIMS,Calc Head,138.5,100,40.16965776173285,34.387084476534298,1.0325052707581228,4.6782815884476532E-2,0.59902743682310478,0.33847783393501801,9.1794151624548737E-2,5.7191696750902521E-2,1.3113542238267146,0.2633824548736462,1.5348916967509023E-2,2.3493862815884476E-3,5.0000000000000001E-4,3.3493862815884481E-3,6.7469314079422391E-4,5.0000000000000001E-4,5.0481588447653424E-3,8.2530685920577623E-4,7.8555234657039716E-3,4.3012274368231049E-3,1.4759205776173285E-3,5.0000000000000001E-4,2.3975451263537908E-3,7.7469314079422376E-3,40.586086642599277,-4.0245487364620941E-2,4.2553357400722014,-0.275797833935018,3.9392924187725633
GVRD0268,6,LIMS,Feed Assay,NA,NA,39.686418491664661,34.88644964489032,1.0209978489439429,4.7631205147699668E-2,0.61035325532664531,0.34369644148571221,9.2316242327590989E-2,5.9233445212973093E-2,1.3339461123370484,0.26255840302631334,2.2140690192296995E-2,2.7590260908264873E-3,5.0000000000000001E-4,4.0000000000000001E-3,9.2677137611956904E-4,5.9704786099727398E-4,4.599903573349157E-3,1.0371613477478815E-3,7.3685723292599261E-3,5.2496337641626646E-3,9.639327238674506E-4,5.0000000000000001E-4,2E-3,1.1035047378864018E-2,40.280675913735237,-3.0506796224525748E-2,4.4902816770819811,-0.36972407142989594,4.0900508094275594
GVRD0268,7,LIMS, Mags(calc),93.049999999999983,65.666901905434003,52.96,21.53,0.59299999999999997,3.6999999999999998E-2,0.25900000000000001,0.24399999999999999,7.0000000000000007E-2,2.9000000000000001E-2,0.73,0.19500000000000001,8.9999999999999993E-3,2E-3,5.0000000000000001E-4,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-3,1E-3,0.01,6.0000000000000001E-3,2E-3,1E-3,1E-3,7.0000000000000001E-3,62.06,-0.19,1.25,-0.83,0.23
GVRD0268,7,LIMS, Tails,48.65,34.333098094565983,18.22,57.08,1.611,5.8999999999999997E-2,0.99099999999999999,0.72299999999999998,0.182,8.6999999999999994E-2,2.71,0.46899999999999997,3.5000000000000003E-2,2E-3,1E-3,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,5.0000000000000001E-4,1E-3,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,0.01,2.72,0.19,8.7100000000000009,0.43,9.33
GVRD0268,7,LIMS,Calc Head,141.69999999999999,99.999999999999986,41.032681721947775,33.735416372618204,0.94251093860268154,4.4553281580804509E-2,0.51031827805222296,0.40845553987297101,0.1084530698659139,4.8913196894848271E-2,1.4097953422724063,0.28907268877911074,1.7926605504587155E-2,2E-3,6.7166549047282989E-4,3.3433309809456596E-3,8.2833450952716993E-4,5.0000000000000001E-4,4.9999999999999992E-3,8.2833450952716993E-4,6.9100211714890605E-3,4.6266760762173594E-3,1.4850035285815099E-3,8.2833450952716993E-4,2.373323923782639E-3,8.0299929428369783E-3,41.686739590684539,-5.9534227240649246E-2,3.8112491178546226,-0.39740296400846842,3.3543119266055044
GVRD0268,7,LIMS,Feed Assay,NA,NA,40.748374490482412,33.934002137005812,0.94971385887846782,4.372032925719261E-2,0.52448911710000401,0.41497334678855508,0.10898045035418892,4.9513573944358708E-2,1.4377939174482568,0.28819521943883813,1.7795025525347265E-2,2.3029601487989239E-3,8.0729352170643873E-4,3.3767066365902889E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.4211088685741423E-3,8.456112232379595E-4,6.4914519767303811E-3,4.1246784597728445E-3,1.5880525545134356E-3,5.0000000000000001E-4,1.8689303098658435E-3,9.4408761723851348E-3,41.663436226206024,-4.6085915548696031E-2,3.9832431041988206,-0.43248090545727963,3.5046762831928446
GVRD0268,8,LIMS, Mags(calc),95.699999999999989,63.189171343677778,57.26,16.8,0.38800000000000001,2.7E-2,0.215,0.36299999999999999,6.5000000000000002E-2,1.2E-2,0.61,0.12,1.0999999999999999E-2,2E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,2E-3,8.9999999999999993E-3,6.0000000000000001E-3,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,6.0000000000000001E-3,70.040000000000006,-0.32,0.4,-0.79,-0.71
GVRD0268,8,LIMS, Tails,55.75,36.810828656322222,16.38,57.84,1.3029999999999999,0.05,1.01,2.3250000000000002,0.16400000000000001,3.6999999999999998E-2,3.08,0.32900000000000001,3.5000000000000003E-2,2E-3,5.0000000000000001E-4,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,6.0000000000000001E-3,5.0000000000000001E-4,1E-3,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,1.0999999999999999E-2,2.72,0.12,7.05,2.56,9.73
GVRD0268,8,LIMS,Calc Head,151.44999999999999,100,42.21173324529547,31.90716408055464,0.7248190822053483,3.5466490590954108E-2,0.50764608781776166,1.0852284582370419,0.101442720369759,2.1202707164080552E-2,1.519227467811159,0.19693463189171345,1.9834598877517332E-2,2E-3,5.0000000000000001E-4,2.7362165731264444E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.3681082865632227E-3,1.4478375701551668E-3,6.0551337074942228E-3,4.5275668537471114E-3,1.4478375701551668E-3,5.0000000000000001E-4,2.1564872895345004E-3,7.8405414328161106E-3,45.258950148563883,-0.15803235391218221,2.8479201056454282,0.4431627599867945,3.1330505117200405
GVRD0268,8,LIMS,Feed Assay,NA,NA,41.482836358067232,32.637828700513055,0.7286098859024428,3.6132973428287009E-2,0.52724642009342215,1.1244220078107054,0.10314059269469331,2.1514740791791102E-2,1.557588636189601,0.19901684661918984,1.9145455241595832E-2,2.4548587181254305E-3,6.5782219159200546E-4,3.4144651198407226E-3,7.0173826479822342E-4,5.0000000000000001E-4,4.3782066008117007E-3,7.2193506394057738E-4,6.3171376062485639E-3,5.0039436404012557E-3,1.0403935982847079E-3,5.0000000000000001E-4,2.0988207366567117E-3,1.0306302167087833E-2,45.645825867218008,-0.10422084386247032,3.0865020292518568,0.38560264951374534,3.3678838349031319
