hole_id,comp_no,grind_P97,grind_P80,d80_feed,d80_con,d80_tail,d80_calc_head,con_mass_rec_pct,Fe_pct_XRF,SiO2_pct_XRF
NSRD0798,7,38,22.156250000000014,23.638000000000002,34.783000000000001,22.186,25.4422066702741,25.849064620735877,65.709999999999994,7.1289999999999996
NSRD0798,8,53,28.558333333333351,39.006999999999998,48.665999999999997,30.689,36.03695046408054,29.748848328867634,62.77,10.19
NSRD0798,8,45,25.148571428571437,30.169,43.686,28.82,33.212434596883348,29.546849165097179,63.84,8.8770000000000007
NSRD0798,8,38,20.650154798761619,24.870999999999999,35.962000000000003,22.588999999999999,26.330519147247532,27.978158582573322,65.53,7.4429999999999996
NSRD0798,9,53,29.258011049723763,35.298999999999999,50.170999999999999,33.947000000000003,36.972219296573329,18.646568642587059,64.150000000000006,8.4960000000000004
NSRD0798,9,45,25.736156351791522,33.6,44.994999999999997,30.742999999999999,33.443987651294833,18.951639428114206,64.209999999999994,8.2539999999999996
NSRD0798,9,38,20.347133757961785,24.870999999999999,35.875,23.297000000000001,25.612093408664126,18.405894487709691,66.39,6.0339999999999998
NSRD0798,10,53,29.539805825242709,33.106999999999999,46.978000000000002,30.225999999999999,35.088113627892319,29.024078485508088,65.959999999999994,6.57
NSRD0798,10,45,25.6111111111111,30.425999999999998,41.107999999999997,28.065999999999999,31.818171434144286,28.76990825137473,67.44,5.1929999999999996
NSRD0798,10,38,24.113402061855652,23.971,31.98,21.579000000000001,24.463977719239164,27.737503309673698,67.959999999999994,4.3460000000000001
NSRD0799,5,53,26.318840579710155,34.454999999999998,43.844999999999999,36.307000000000002,38.165555694618277,24.655819774718399,66.900000000000006,5.5330000000000004
NSRD0799,5,45,21.909090909090907,31.358000000000001,37.505000000000003,29.206,31.255327956989248,24.693673418354592,66.95,5.1269999999999998
NSRD0799,5,38,18.837398373983753,26.302,35.585999999999999,29.77,31.185241210302575,24.333583395848972,67.400000000000006,4.532
NSRD0799,6,53,27.434328358208944,32.445,44.795999999999999,29.998000000000001,35.060181545386349,34.208552138034506,66.180000000000007,6.8920000000000003
