hole_id,type,comp_no,process_method,pass,mass_g,mass_pct,D80_micron,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
NSRD0799,DTR Tails, 17,HIG5 DTR,P3,16.289000000000001,40.660492748558454,42.82,14.64,57.95,5.518,0.257,0.438,0.906,0.084,0.111,3.25,2.055,0.105,0.006,0.001,0.005,0.007,5e-4,0.1,0.002,0.02,0.011,0.001,5e-4,0.005,0.009,2.11,0.33,6.66,0.84,7.83
NSRD0799,Calc Head, 17,HIG5 DTR,P3,40.061,100,51.071751878385456,43.514604228551455,29.051659968547966,2.727856369037218,0.14069456578717457,0.20538913157434913,0.42891036169841,0.04127555477896209,0.053440677966101705,1.5540768827538005,1.0397010309278352,0.05990197448890442,0.005406604927485585,0.001,0.0032198147824567536,0.0031429320286562993,5e-4,0.05193499912633235,0.007933950725144155,0.07162537130875414,0.011,0.0015933950725144155,7.966975362572078e-4,0.0023297221736851303,0.004252839419884676,50.898942862135236,0.0036327101170715004,2.357885724270488,-0.45360125808142576,1.9079171763061333
NSRD0799,Head, 17,HIG5 DTR,P3,NA,NA,49.387,43.88,28.64,2.728,0.14,0.211,0.438,0.041,0.055,1.6,1.043,0.062,0.005,-0.001,-0.001,0.001,0.002,0.051,0.008,0.071,0.013,0.002,5e-4,0.004,0.007,49.8,-0.03,2.48,-0.49,1.96
NSRD0799,DTR Mags, 17,HIG5 DTR,P4,23.039000000000001,57.64649952459591,44.338000000000001,64.84,7.649,0.69,0.05,0.036,0.085,0.01,0.011,0.326,0.288,0.016,0.005,5e-4,0.003,0.001,0.002,0.016,0.013,0.109,0.011,0.002,5e-4,0.001,0.002,83.77,-0.28,-0.84,-1.27,-2.39
NSRD0799,DTR Tails, 17,HIG5 DTR,P4,16.927,42.35350047540409,29.827999999999999,14.29,58.46,5.56,0.262,0.437,0.902,0.085,0.113,3.27,2.074,0.105,0.006,0.001,0.005,0.007,0.001,0.099,0.002,0.025,0.018,0.001,5e-4,0.007,0.009,1.46,0.34,6.66,0.83,7.83
NSRD0799,Calc Head, 17,HIG5 DTR,P4,39.966000000000001,100,38.192507081018867,43.43030550968324,29.169237126557572,2.7526154731521792,0.13978942100785668,0.20583753690637038,0.4310280988840514,0.04176512535655307,0.05420057048491217,1.5728870539958961,1.044433518490717,0.05369461542310963,0.005423535004754041,7.117675023770205e-4,0.0038470700095080824,0.0035412100285242454,0.001576464995245959,0.0511534053945854,0.00834111494770555,0.07342305960066056,0.013964745033278285,0.001576464995245959,5e-4,0.0035412100285242454,0.004964745033278286,48.90883375869489,-0.017408297052494658,2.3365125356553067,-0.3805764900165141,1.938527748586298
NSRD0799,Head, 17,HIG5 DTR,P4,NA,NA,37.488,43.98,28.66,2.721,0.141,0.209,0.435,0.042,0.054,1.59,1.04,0.065,0.005,5e-4,0.003,0.001,0.002,0.05,0.008,0.072,0.011,0.001,5e-4,0.004,0.006,49.4,-0.06,2.47,-0.48,1.93
NSRD0799,DTR Mags, 17,HIG5 DTR,P5,21.801000000000002,54.501137471563212,32.213999999999999,67.98,4.327,0.419,0.036,0.022,0.058,0.006,0.006,0.205,0.158,0.013,0.005,5e-4,0.003,0.001,0.002,0.009,0.014,0.111,0.011,0.002,5e-4,5e-4,0.001,89.16,-0.35,-1.18,-1.3,-2.83
NSRD0799,DTR Tails, 17,HIG5 DTR,P5,18.200000000000003,45.498862528436788,27.375,14.24,58.48,5.522,0.26,0.422,0.866,0.084,0.108,3.19,2.081,0.113,0.006,0.002,0.002,0.007,5e-4,0.104,0.001,0.024,0.011,0.001,5e-4,0.006,0.008,1.59,0.35,6.5,0.84,7.69
NSRD0799,Calc Head, 17,HIG5 DTR,P5,40.001000000000005,100,30.012310042248941,43.52891127721808,28.96599902502437,2.7408069548261293,0.1379174520636984,0.20399545011374712,0.4256308092297692,0.041489112772180696,0.05240883977900552,1.563141046473838,1.0329431264218394,0.05849886252843679,0.005454988625284367,0.0011824829379265519,0.002545011374715632,0.0037299317517062074,0.001317517062073448,0.05222391940201496,0.008085147871303218,0.07141598960026,0.011,0.0015450113747156322,5e-4,0.003002437439064023,0.004184920376990575,49.31664608384791,-0.03150796230094247,2.3143126421839453,-0.32632434189145276,1.95648033799155
