BV_ID,hole_id,test,comp_no,process_phase,grind_P97,Fe3O4_pct_SATMAGAN,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,C_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct,project,Cu_pct_XRF,FeO_titration
44711010003,NSRD0801,DTR,5,Feed,53,22.3,29.17,43.79,2.501,0.103,0.305,1.494,0.106,0.291,2.32,0.805,0.079,0.002,0.001,0.002,0.001,-0.001,0.011,0.002,0.021,0.007,-0.001,-0.001,0.003,0.008,0.28,5.27,0.66,6.21,4471,NA,NA
44711010004,NSRD0801,DTR,6,Feed,53,12.4,25.38,44.2,3.758,0.149,0.368,1.798,0.124,0.474,3.06,1.079,0.098,0.003,0.001,0.001,0.001,-0.001,0.013,0.003,0.03,0.012,-0.001,-0.001,0.004,0.009,0.5,6.78,1.1,8.38,4471,NA,NA
44711010005,NSRD0801,DTR,7,Feed,53,11.6,23.43,48.14,4.382,0.177,0.289,1.538,0.118,0.703,2.96,1.248,0.1,0.003,0.001,0.004,0.001,0.001,0.012,0.004,0.036,0.013,0.001,-0.001,0.005,0.009,0.44,5.23,1.16,6.83,4471,NA,NA
44711010006,NSRD0801,DTR,8,Feed,53,24.6,30.42,40.93,2.383,0.097,0.322,1.877,0.109,0.128,2.69,0.811,0.088,0.002,-0.001,0.003,-0.001,0.002,0.008,0.003,0.021,0.011,-0.001,-0.001,0.004,0.01,0.38,5.36,0.99,6.73,4471,NA,NA
44711010007,NSRD0801,DTR,3,Feed,45,25.6,30.8,42.48,2.289,0.092,0.269,1.817,0.104,0.153,2.01,0.848,0.053,0.002,0.001,0.003,0.001,0.001,0.011,0.002,0.019,0.008,0.001,-0.001,0.003,0.009,0.28,4.52,0.76,5.56,4471,NA,NA
44711010008,NSRD0801,DTR,4,Feed,45,27,31.3,41.69,1.89,0.081,0.359,2.007,0.096,0.152,1.95,0.699,0.043,0.002,-0.001,0.002,-0.001,-0.001,0.005,0.002,0.018,0.009,-0.001,-0.001,0.003,0.008,0.35,4.64,0.99,5.98,4471,NA,NA
44711010009,NSRD0801,DTR,5,Feed,45,21.9,28.43,44.75,2.484,0.102,0.315,1.477,0.106,0.25,2.35,0.792,0.076,0.002,-0.001,0.002,0.001,0.002,0.012,0.002,0.023,0.012,0.001,-0.001,0.004,0.009,0.3,5.45,0.61,6.36,4471,NA,NA
44711010010,NSRD0801,DTR,6,Feed,45,12.4,25.8,43.6,3.657,0.147,0.37,1.773,0.127,0.49,3.02,1.053,0.099,0.003,0.002,0.002,0.002,0.001,0.016,0.003,0.042,0.026,0.001,-0.001,0.005,0.009,0.49,6.89,1.07,8.45,4471,NA,NA
44711010011,NSRD0801,DTR,7,Feed,45,11.4,23.78,47.33,4.511,0.185,0.29,1.492,0.116,0.742,2.99,1.274,0.108,0.003,0.001,0.004,0.002,0.001,0.01,0.004,0.036,0.013,0.001,-0.001,0.005,0.008,0.48,5.2,1.14,6.82,4471,NA,NA
44711010012,NSRD0801,DTR,8,Feed,45,24.9,30.12,40.93,2.364,0.096,0.311,1.825,0.109,0.131,2.64,0.809,0.086,0.002,-0.001,0.001,-0.001,-0.001,0.008,0.002,0.019,0.008,-0.001,-0.001,0.004,0.008,0.37,5.2,0.94,6.51,4471,NA,NA
44711010013,NSRD0801,DTR,3,Feed,38,24.6,30.53,42.85,2.263,0.094,0.273,1.85,0.105,0.151,2.03,0.829,0.054,0.002,0.001,-0.001,0.001,-0.001,0.011,0.002,0.02,0.009,-0.001,-0.001,0.003,0.008,0.29,4.44,0.81,5.54,4471,NA,NA
44711010014,NSRD0801,DTR,4,Feed,38,26.8,31,42.14,1.902,0.08,0.35,2.023,0.109,0.158,1.95,0.71,0.054,0.002,-0.001,0.002,0.001,-0.001,0.008,0.001,0.016,0.005,-0.001,-0.001,0.003,0.009,0.34,4.58,0.96,5.88,4471,NA,NA
44711010015,NSRD0801,DTR,5,Feed,38,21.7,29.17,43.9,2.494,0.104,0.304,1.416,0.108,0.304,2.3,0.801,0.076,0.001,0.001,0.002,-0.001,-0.001,0.005,0.003,0.021,0.008,0.001,-0.001,0.003,0.007,0.3,5.27,0.67,6.24,4471,NA,NA
44711010016,NSRD0801,DTR,6,Feed,38,12.5,25.77,43.6,3.693,0.152,0.371,1.774,0.118,0.464,3.03,1.058,0.107,0.004,0.002,0.001,0.002,0.003,0.016,0.004,0.032,0.012,0.001,-0.001,0.006,0.012,0.51,6.96,1.08,8.55,4471,NA,NA
44711010017,NSRD0801,DTR,7,Feed,38,11.8,23.68,47.55,4.452,0.184,0.296,1.476,0.114,0.726,3,1.232,0.111,0.004,0.002,0.003,0.003,0.003,0.013,0.005,0.038,0.015,0.002,-0.001,0.006,0.01,0.47,5.33,1.15,6.95,4471,NA,NA
44711010018,NSRD0801,DTR,8,Feed,38,25.3,30.28,41.29,2.371,0.097,0.301,1.815,0.106,0.141,2.58,0.821,0.086,0.002,-0.001,0.003,-0.001,-0.001,0.01,0.003,0.019,0.007,-0.001,-0.001,0.003,0.009,0.36,5.08,0.92,6.36,4471,NA,NA
44711010019,NSRD0801,DTR,3,Cons,53,84.4,67.86,4.607,0.304,0.024,0.029,0.109,0.009,0.008,0.18,0.145,-0.001,0.002,-0.001,0.004,0.001,-0.001,0.002,0.007,0.049,0.008,-0.001,0.003,-0.001,-0.001,-0.4,-0.97,-1.21,-2.58,4471,NA,NA
44711010020,NSRD0801,DTR,4,Cons,53,89,67.94,4.515,0.306,0.027,0.034,0.12,0.009,0.011,0.183,0.159,0.014,0.004,-0.001,0.003,0.004,0.007,0.005,0.006,0.048,0.01,0.001,-0.001,0.002,0.001,-0.41,-1.06,-1.22,-2.69,4471,NA,NA
44711010021,NSRD0801,DTR,5,Cons,53,88.4,67.39,5.197,0.306,0.025,0.033,0.114,0.014,0.009,0.226,0.125,0.02,0.003,-0.001,0.002,0.002,0.004,0.005,0.006,0.058,0.013,-0.001,-0.001,-0.001,-0.001,-0.38,-0.91,-1.3,-2.59,4471,NA,NA
