hole_id,comp_no,process_phase,mass_kg,mass_pct,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,Fe3O4_pct_MAGNASAT,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct
NSRD0798,8,DMS Tails,9.9600000000000009,6.2934411727536954,19.04,56.3,1.6519999999999999,3.7999999999999999E-2,0.41799999999999998,1.9810000000000001,0.38900000000000001,0.151,2.33,0.53600000000000003,0.16800000000000001,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,6.0000000000000001E-3,5.0000000000000001E-4,4.0000000000000001E-3,5.0000000000000001E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,6.5,6.23,1.0900000000000001,6.2,0.57999999999999996,7.87,NA
NSRD0798,8,Calc Head,158.26000000000002,100,32.899200050549723,39.226664981675725,1.9012594464804748,8.391621382535068E-2,0.40769227852900286,0.82466106407178064,0.10506912675344368,0.10320965499810437,2.3674826235308983,0.58097914823707819,0.18205598382408694,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,7.8741311765449257E-3,1.9055983824086944E-3,1.3370655882724632E-2,6.8741311765449266E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,24.304246177176797,23.818721091874131,1.4367142676608111,5.3004170352584357,-2.9092632377100983E-2,6.7080386705421446,NA
NSRD0798,8,Feed Assay,NA,NA,32.508965120157562,39.681506218332558,1.8814117203259264,8.3845073778173088E-2,0.40331244937181338,0.85657258692164751,0.10654510872154895,9.0174113311837875E-2,2.3415605393986563,0.57815072507504872,0.17672477326514077,3.0541860575930366E-3,7.6093965914325189E-4,9.7147746946425436E-4,1.2529979828142124E-3,5.0000000000000001E-4,6.6690782890452506E-3,1.5009768261884718E-3,1.2056354135230865E-2,6.6570387077304269E-3,7.943780873266729E-4,5.0000000000000001E-4,32.508965120157562,24.414030480153748,NA,1.4279500150891848,5.2419502374561224,2.8404358391969371E-2,6.6983046109372761,NA
NSRD0798,9,DMS Mags,109.15,74.714217263330823,32.950000000000003,36.99,2.2389999999999999,0.10199999999999999,0.375,1.39,8.1000000000000003E-2,0.09,2.4700000000000002,0.66300000000000003,0.189,4.0000000000000001E-3,1E-3,5.0000000000000001E-4,1E-3,5.0000000000000001E-4,7.0000000000000001E-3,3.0000000000000001E-3,1.6E-2,8.0000000000000002E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,22.5,22.8,1.38,5.77,0.62,7.77,NA
NSRD0798,9,DMS Tails,36.94,25.285782736669177,23.28,46,3.4089999999999998,0.14199999999999999,0.379,1.538,0.182,0.51,3.01,0.94299999999999995,0.28000000000000003,5.0000000000000001E-3,2E-3,2E-3,2E-3,5.0000000000000001E-4,1.4E-2,3.0000000000000001E-3,2.3E-2,1.0999999999999999E-2,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,2.1,1.96,1.4,7.2,0.9,9.5,NA
NSRD0798,9,Calc Head,146.09,100,30.50486480936409,39.268249024573898,2.5348436580190294,0.11211431309466766,0.37601143130946674,1.4274229584502702,0.10653864056403586,0.19620028749401056,2.6065432267780135,0.73380019166267374,0.21201006229036895,4.2528578273666913E-3,1.2528578273666919E-3,8.792867410500377E-4,1.2528578273666919E-3,5.0000000000000001E-4,8.770004791566843E-3,3.0000000000000005E-3,1.7770004791566842E-2,8.7585734821000755E-3,1E-3,5.0000000000000001E-4,3.2528578273666921E-3,17.341700321719486,17.530442877678144,1.3850571565473337,6.131586693134369,0.69080019166267359,8.2074440413443774,NA
NSRD0798,9,Feed Assay,NA,NA,30.312840001336944,39.58286587118554,2.482734041913166,0.11191072562585649,0.37624105083726062,1.4359069955546644,0.12005339750660117,0.19542797553394164,2.5895297302717339,0.72286756241853012,0.21087657341488686,4.110812527156657E-3,9.5539289414753174E-4,6.4949697516628231E-4,1.1993181590293795E-3,5.0000000000000001E-4,6.1374377485878548E-3,2.6811925532270468E-3,1.7832554563989439E-2,8.422801564223403E-3,1E-3,5.0000000000000001E-4,3.6056820080885058E-3,17.070481834285907,NA,1.6068225542297541,5.9285373174237117,0.62577632942277495,8.1611362010762392,NA
NSRD0798,10,DMS Mags,142.94999999999999,89.539617914187289,34.26,36.53,2.2629999999999999,0.109,0.34599999999999997,1.762,8.4000000000000005E-2,0.121,2.2999999999999998,0.61699999999999999,0.16800000000000001,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,2E-3,1.7000000000000001E-2,8.0000000000000002E-3,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,28.2,28.94,0.82,4.24,0.89,5.95,NA
NSRD0798,10,DMS Tails,16.7,10.460382085812716,16.899999999999999,56.29,2.8279999999999998,0.08,0.34,3.573,0.33400000000000002,0.25600000000000001,2.62,0.77,0.224,4.0000000000000001E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,5.0000000000000001E-4,7.0000000000000001E-3,5.0000000000000001E-4,1.2E-2,8.0000000000000002E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,4.0999999999999996,3.45,0.9,3.9,2.46,7.26,NA
NSRD0798,10,Calc Head,159.64999999999998,100,32.44407766990291,38.596971500156599,2.3221011587848421,0.10596648919511432,0.34537237707485124,1.9514375195740683,0.1101509552145318,0.13512151581584717,2.3334732226746007,0.63300438459129349,0.17385781396805514,4.000000000000001E-3,5.5230191042906368E-4,5.0000000000000012E-4,1.2092076417162545E-3,5.0000000000000012E-4,4.3138114625743814E-3,1.8430942687128096E-3,1.6476980895709366E-2,8.0000000000000019E-3,1.0000000000000002E-3,5.0000000000000012E-4,3.8953961791418734E-3,25.679047917319135,26.273648606326343,0.82836830566865016,4.2044347009082372,1.0542279987472596,6.087031005324147,NA
